Wired for War,read,20.5,P. W. Singer,William Hughes,non-fiction,2012,2013,u,,4 
The Last Battle,read,15.816667,Cornelius Ryan,Simon Vance,non-fiction,2012,2012,u,WWII,4 
You Are Not So Smart,read,8.4,David McRaney,Don Hagen,non-fiction,2012,2013,u,,4 
The Devil's Highway,read,8.94,Luis Alberto Urrea,Luis Alberto Urrea,non-fiction,2012,2012,u,,3 
Enterprise Americas Fightingest Ship,read,10.550000,Barrett Tillman,Tom Weiner,non-fiction,2012,2012,u,WWII,5 
Total Recall,read,23.416666,Arnold Schwarzenegger,Arnold Schwarzenegger,non-fiction,2012,2013,u,Memoirs,4 
That Is All,read,16.66,John Hodgman,John Hodgman,fiction,2012,2012,u,Complete World Knowledge,3 
The Hydrogen Sonata,read,17.250000,Iain M. Banks,Peter Kenny,fiction,2012,2012,u,Culture,4 
Against a Dark Background,unread,18.28,Iain M. Banks,Peter Kenny,fiction,2012,,u,, 
Use of Weapons,read,13.47,Iain M. Banks,Peter Kenny,fiction,2012,2015,u,Culture,4
The Steep Approach to Garbadale,unread,13.750000,Iain M. Banks,Peter Kenny,fiction,2012,,u,Iain Banks, 
Paperweight Volume 1,read,3.000000,Stephen Fry,Stephen Fry,fiction,2012,2012,u,Paperweight,5 
Paperweight Volume 2,read,3.000000,Stephen Fry,Stephen Fry,fiction,2012,2012,u,Paperweight,4 
Stonemouth,read,11.066667,Iain M. Banks,Peter Kenny,fiction,2012,2013,u,Iain Banks,4 
The Family Portrait,read,0.5,Jon Ronson,Jon Ronson,non-fiction,2012,2012,u,,5 
Them Adventures with Extremists,read,8.249999,Jon Ronson,Jon Ronson,non-fiction,2012,2012,u,,5 
Lost at Sea,read,13,Jon Ronson,Jon Ronson,non-fiction,2012,2012,u,,5 
Transition,read,13.62,Iain M. Banks,Peter Kenny,fiction,2012,2013,u,,5 
The Wasp Factory,read,6.166667,Iain M. Banks,Peter Kenny,fiction,2012,2013,u,Iain Banks,5 
Mindstar Rising,read,14.86,Peter F. Hamilton,Toby Longworth,fiction,2012,2013,u,Greg Mandel,4 
Every Day is an Atheist Holiday!,read,7.86,Penn Jillette,Penn Jillette,non-fiction,2012,2012,u,Atheism with Penn Jillette,5 
Great North Road,read,36.62,Peter F. Hamilton,Toby Longworth,fiction,2013,2013,u,,6
The Pluto Files,read,4.400000,Neil deGrasse Tyson,Mirron Willis,non-fiction,2013,2013,u,Space,2 
A Quantum Murder,read,11.87,Peter F. Hamilton,Toby Longworth,fiction,2013,2013,u,Greg Mandel,3 
The Nano Flower,read,18.250000,Peter F. Hamilton,Toby Longworth,fiction,2013,2013,u,Greg Mandel,4 
On the Map,read,11.75,Simon Garfield,Simon Shepherd,non-fiction,2013,2013,u,,4 
Makers,read,8.33,Chris Anderson,Rene Ruiz,non-fiction,2013,2013,u,,3 
Let's Explore Diabetes with Owls,read,6.42,David Sedaris,David Sedaris,non-fiction,2013,2013,u,,5 
The Great Gatsby,read,4.82,F. Scott Fitzgerald,Jake Gyllenhaal,fiction,2013,2013,u,,1 
Dress Your Family in Corduroy and Denim,read,6.14,David Sedaris,David Sedaris,non-fiction,2013,2013,u,,5 
Me Talk Pretty One Day,read,5.85,David Sedaris,David Sedaris,non-fiction,2013,2013,a,,5 
When You Are Engulfed in Flames,read,9,David Sedaris,David Sedaris,non-fiction,2013,2013,u,,5 
Naked,read,3,David Sedaris,David Sedaris,non-fiction,2013,2013,a,,3 
Moon Shot,read,10.883333,Dan Parry,John Chancer,non-fiction,2013,2013,u,Space,5 
Mud Sweat and Tears,read,9.416667,Bear Grylls,Tom Patrick Stephens,non-fiction,2013,2013,u,Memoirs,4 
Holidays on Ice,read,4.32,David Sedaris,David Sedaris,non-fiction,2013,2013,u,,4 
Country Driving,read,16.56,Peter Hessler,Peter Berkrot,non-fiction,2013,2013,u,,3 
A Game of Thrones,read,33.816669,George R. R. Martin,Roy Dotrice,fiction,2013,2013,u,Song of Ice and Fire,2 
Exploding the Phone,read,12.183332,Phil Lapsley,Johann North,Non-fiction,2013,2013,u,,4 
The Commitment,read,9.816667,Dan Savage,Paul Michael Garcia,Non-fiction,2013,2013,u,,3 
One Summer,read,17.050001,Bill Bryson,Bill Bryson,Non-fiction,2013,2013,u,,6
Dimension of Miracles,read,5.333333,Robert Sheckley,John Hodgman,Fiction,2013,2014,u,,3 
The Paradox of Choice,read,7.1,Barry Schwartz,Ken Kliban,Non-fiction,2013,2013,u,,1 
An Appetite for Wonder,read,7.933333,Richard Dawkins,Richard Dawkins,Non-fiction,2013,2016,u,Memoirs,2
The Things They Carried,read,7.783333,Tim O'Brien,Bryan Cranston,Non-fiction,2013,2014,u,,2 
Paddle Your Own Canoe,read,10.799999,Nick Offerman,Nick Offerman,Non-fiction,2013,2013,u,Memoirs,3 
The Sixth Extinction,read,9.983334,Elizabeth Kolbert,Anne Twomey,Non-fiction,2014,2014,u,,4 
The Bridge,read,9.300000,Iain M. Banks,Peter Kenny,Fiction,2014,2014,u,Iain Banks,2 
An Astronaut's Guide to Life on Earth,read,8.750000,Chris Hadfield,Chris Hadfield,Non-fiction,2014,2014,u,Memoirs,5 
The Martian,read,10.883333,Andy Weir,R. C. Bray,Fiction,2014,2015,u,,6
Look to Windward,read,12.183332,Iain M. Banks,Peter Kenny,Fiction,2014,2016,u,Culture,4
Inversions,unread,11.433333,Iain M. Banks,Peter Kenny,Fiction,2014,,u,Culture, 
Excession,read,15.883333,Iain M. Banks,Peter Kenny,Fiction,2014,2015,u,Culture,5 
Carsick,read,8.116666,John Waters,John Waters,Non-fiction,2014,2014,u,,5 
Ride Like Hell and You'll Get There,read,5.466667,Paul Carter,Paul Carter,Non-fiction,2014,2015,u,Memoirs,2 
Role Models,read,7.333333,John Waters,John Waters,Non-fiction,2014,2015,u,,3 
The State Of The Art,read,6.316667,Iain M. Banks,Peter Kenny,Fiction,2014,2016,u,Culture,5
Feersum Endjinn,read,9.933334,Iain M. Banks,Peter Kenny,,2014,2017,u,,3
Matter,read,17.983334,Iain M. Banks,Toby Longworth,Fiction,2014,2014,u,Culture,5
The Rising Sun,read,41.133335,John Toland,Tom Weiner,Non-fiction,2014,2016,u,WWII,4
The Innovators,read,17.466667,Walter Isaacson,Dennis Boutsikaris,Non-fiction,2014,2015,u,,5 
Atomic Accidents,read,15.883333,James Mahaffey,Tom Weiner,Non-fiction,2014,2014,u,Nuclear,4 
Flash Boys A Wall Street Revolt,read,10.300000,Michael Lewis,Dylan Baker,Non-fiction,2014,2014,u,,4 
Berlin Diary,read,9.983334,William L. Shirer,Tom Weiner,non-fiction,2014,2015,u,WWII,4 
How We Got To Now,read,6.183333,Steven Johnson,George Newbern,Non-fiction,2014,2015,u,,4 
The Art Of Deception,read,13.683333,Kevin Mitnick,Nick Sullivan,Non-fiction,2014,2017,u,,2
What If,read,6.566667,Randall Munroe,Wil Wheaton,Non-fiction,2014,2015,u,,4 
The Abyss Beyond Dreams,read,22.583334,Peter F. Hamilton,John Lee,Fiction,2014,2015,u,Chronicle Of The Fallers,2 
Yes Please,read,7.500000,Amy Poehler,Amy Poehler,Non-fiction,2014,2015,u,Memoirs,4 
Undeniable,read,9.483334,Bill Nye,Bill Nye,Non-fiction,2014,2017,u,,3
No Land's Man,read,4.366666,Aasif Mandvi,Aasif Mandvi,Non-fiction,2014,2015,u,Memoirs,4 
More Fool Me,read,9.799999,Stephen Fry,Stephen Fry,Non-fiction,2014,2014,u,The Fry Chronicles,1 
Walking On Glass,unread,8.116666,Iain M. Banks,Peter Kenny,Fiction,2015,,u,Iain Banks, 
Espedair Street,unread,8.616667,Iain M. Banks,Peter Kenny,Fiction,2015,,u,Iain Banks, 
Holy Cow,read,2.950000,David Duchovny,David Duchovny,Fiction,2015,2015,u,,5 
Becoming Steve Jobs,read,16.333334,Brent Schlender,George Newbern,Non-fiction,2015,2017,u,Steve Jobs,3
So You've Been Publicly Shamed,read,7.433334,Jon Ronson,Jon Ronson,Non-fiction,2015,2015,u,,6
Fondation,unread,8.616667,Isaac Asimov,Scott Brick,Fiction,2015,,u,Foundation, 
Frank,read,1.333333,Jon Ronson,Jon Ronson,Non-fiction,2015,2015,u,,4 
Going Clear,unread,17.450001,Lawrence Wright,Morton Sellers,Non-fiction,2015,,u,, 
The Quarry,unread,9.300000,Iain M. Banks,Peter Kenny,Non-Fiction,2015,,u,Iain Banks, 
Ready Player One,read,15.750000,Ernest Cline,Wil Wheaton,Non-Fiction,2015,2017,u,,6
The Crow Road,unread,13.683333,Iain M. Banks,Peter Kenny,Non-Fiction,2015,,u,Iain Banks, 
Dead Air,unread,11.516667,Iain M. Banks,Peter Kenny,Fiction,2015,,u,Iain Banks, 
The Algebraist,unread,24.400000,Iain M. Banks,Geoffrey Amis,Fiction,2015,,u,, 
Debt The First 5000 Years,read,17.333334,David Graeber,Grover Gardner,Non-Fiction,2015,2015,u,,1 
You're Never Weird on the Internet (almost),read,6.250000,Felicia Day,Felicia Day,Non-Fiction,2015,2015,u,Memoirs,5 
Inherit The Stars,read,8.049999,James P. Hogan,John Pruden,Fiction,2015,2015,u,Giants,6
Small Gods,read,9.633333,Terry Pratchett,Nigel Planer,Fiction,2015,2015,u,Discworld,2
Canal Dreams,unread,7.800000,Iain M. Banks,Lisa Coleman,Fiction,2015,,u,Iain Banks, 
Truths Half Truths And Little White Lies,unread,8.450001,Nick Frost,Nick Frost,Fiction,2015,,u,Memoirs, 
A Song Of Stone,unread,7.066667,Iain M. Banks,Peter Kenny,Fiction,2015,,u,Iain Banks, 
Whit,unread,13.583334,Iain M. Banks,Helen McAlpine,Fiction,2015,,u,Iain Banks, 
The Business,unread,12.483334,Iain M. Banks,Harriet Kershaw,Fiction,2015,,u,Iain Banks, 
Complicity,read,8.650001,Iain M. Banks,Peter Kenny,Fiction,2015,2016,u,Iain Banks,5
The Pentagon's Brain,read,18.366665,Annie Jacobsen,Annie Jacobsen,Non-Fiction,2015,2016,u,,5
Breaking The Chains Of Gravity,read,10.450001,Amy Shira Teitel,Laurence Bouvard,Non-Fiction,2015,2016,u,Space,5
World In The Balance,read,9.599999,Robert P. Crease,William Roberts,Non-Fiction,2015,2016,u,,5
Operation Paperclip,read,19.433334,Annie Jacobsen,Annie Jacobsen,Non-Fiction,2015,2016,u,WWII,4
Longitude,read,4.333333,Dava Sobel,Kate Reading,Non-Fiction,2015,2015,u,,4
Iron Rails Iron Men And The Race To Link The Nation,read,4.200000,Martin W. Sandler,Grover Gardner,Non-Fiction,2015,2016,u,,5
11-22-63,unread,30.733334,Stephen King,Craig Wasson,Fiction,2015,,u,, 
The Demon In The Freezer,unread,8.650001,Richard Preston,Paul Boehmer,Non-Fiction,2015,,u,, 
The Road To Little Dribbling,read,13.933334,Bill Bryson,Nathan Osgood,Non-Fiction,2015,2015,u,,2
The Andromeda Strain,unread,8.249999,Michael Crichton,David Morse,Fiction,2015,,u,,
Packing For Mars,read,10.450001,Mary Roach,Sandra Burr,Non-Fiction,2015,2017,u,Space,5
Born Standing Up,read,4.050000,Steve Martin,Steve Martin,Non-Fiction,2016,2016,u,Memoirs,5
Red Moon Rising,read,11.650001,Matthew Brzezinski,Charles Stransky,Non-Fiction,2016,2017,u,The Cold War,4
Our Oriental Heritage - Volume 1,read,50.266666,Will Durant,Robin Field,Non-Fiction,2016,2016,u,The Story Of Civilization,3
